date,regime,posture,confidence,risk_score,composite,growth,liquidity,breadth,credit,volatility_safety,payload,recorded_at
2025-05-16,Risk-Off Contraction,Capital preservation,63.6,62.3,37.7,37.5,28.1,81.1,30.1,11.5,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 63.6, ""risk_score"": 62.3, ""composite"": 37.7, ""components"": {""Growth"": 37.5, ""Liquidity"": 28.1, ""Breadth"": 81.1, ""Credit"": 30.1, ""Volatility safety"": 11.5}}",2026-07-22T16:02:35.120001+00:00
2025-05-23,Risk-Off Contraction,Capital preservation,65.7,65.3,34.7,37.4,28.1,65.7,30.1,11.9,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 65.7, ""risk_score"": 65.3, ""composite"": 34.7, ""components"": {""Growth"": 37.4, ""Liquidity"": 28.1, ""Breadth"": 65.7, ""Credit"": 30.1, ""Volatility safety"": 11.9}}",2026-07-22T16:02:35.273494+00:00
2025-05-30,Risk-Off Contraction,Capital preservation,60.8,58.3,41.7,52.3,37.5,72.8,33.2,12.7,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 60.8, ""risk_score"": 58.3, ""composite"": 41.7, ""components"": {""Growth"": 52.3, ""Liquidity"": 37.5, ""Breadth"": 72.8, ""Credit"": 33.2, ""Volatility safety"": 12.7}}",2026-07-22T16:02:35.428617+00:00
2025-06-06,Mixed / Transition,Balanced,57.4,46.5,53.5,77.5,53.6,81.4,40.7,14.3,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 57.4, ""risk_score"": 46.5, ""composite"": 53.5, ""components"": {""Growth"": 77.5, ""Liquidity"": 53.6, ""Breadth"": 81.4, ""Credit"": 40.7, ""Volatility safety"": 14.3}}",2026-07-22T16:02:35.584343+00:00
2025-06-13,Slowdown,Defensive tilt,56.0,48.6,51.4,68.8,48.3,84.4,39.6,15.8,"{""regime"": ""Slowdown"", ""posture"": ""Defensive tilt"", ""confidence"": 56.0, ""risk_score"": 48.6, ""composite"": 51.4, ""components"": {""Growth"": 68.8, ""Liquidity"": 48.3, ""Breadth"": 84.4, ""Credit"": 39.6, ""Volatility safety"": 15.8}}",2026-07-22T16:02:35.734942+00:00
2025-06-20,Mixed / Transition,Balanced,56.4,47.9,52.1,72.6,50.7,80.6,40.6,15.8,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 56.4, ""risk_score"": 47.9, ""composite"": 52.1, ""components"": {""Growth"": 72.6, ""Liquidity"": 50.7, ""Breadth"": 80.6, ""Credit"": 40.6, ""Volatility safety"": 15.8}}",2026-07-22T16:02:35.886565+00:00
2025-06-27,Late-Cycle Risk-On,Moderately invested,63.7,37.6,62.4,98.0,65.5,85.4,47.2,16.1,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 63.7, ""risk_score"": 37.6, ""composite"": 62.4, ""components"": {""Growth"": 98.0, ""Liquidity"": 65.5, ""Breadth"": 85.4, ""Credit"": 47.2, ""Volatility safety"": 16.1}}",2026-07-22T16:02:36.045288+00:00
2025-07-03,Late-Cycle Risk-On,Moderately invested,67.4,32.3,67.7,100.0,75.9,89.8,56.1,16.6,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 67.4, ""risk_score"": 32.3, ""composite"": 67.7, ""components"": {""Growth"": 100.0, ""Liquidity"": 75.9, ""Breadth"": 89.8, ""Credit"": 56.1, ""Volatility safety"": 16.6}}",2026-07-22T16:02:36.203685+00:00
2025-07-11,Risk-On Expansion,Growth-oriented,77.4,18.1,81.9,100.0,87.3,88.2,85.2,49.0,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 77.4, ""risk_score"": 18.1, ""composite"": 81.9, ""components"": {""Growth"": 100.0, ""Liquidity"": 87.3, ""Breadth"": 88.2, ""Credit"": 85.2, ""Volatility safety"": 49.0}}",2026-07-22T16:02:36.361223+00:00
2025-07-18,Risk-On Expansion,Growth-oriented,77.6,17.8,82.2,100.0,83.2,82.1,89.4,56.4,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 77.6, ""risk_score"": 17.8, ""composite"": 82.2, ""components"": {""Growth"": 100.0, ""Liquidity"": 83.2, ""Breadth"": 82.1, ""Credit"": 89.4, ""Volatility safety"": 56.4}}",2026-07-22T16:02:36.544035+00:00
